stage,dataset,method,baseline,p_value_raw,p_value_holm,significant_raw_0.05,significant_holm_0.05,flip_by_correction
tes1,bbbp,random,chemberta_solo,0.0,0.0,True,True,False
tes1,bbbp,majority_class,chemberta_solo,0.0,0.0,True,True,False
tes1,bbbp,ecfp_rf,chemberta_solo,0.016409,0.032818,True,True,False
tes1,bbbp,chemberta_tta_solo,chemberta_solo,2.3e-05,0.000116,True,True,False
tes1,bbbp,dmpnn_solo,chemberta_solo,0.0,0.0,True,True,False
tes1,bbbp,ensemble_avg,chemberta_solo,0.006216,0.019135,True,True,False
tes1,bbbp,ensemble_weighted,chemberta_solo,0.004784,0.019135,True,True,False
tes1,bbbp,ensemble_weighted_tta,chemberta_solo,0.104124,0.104124,False,False,False
tes1,bace,random,ecfp_rf,0.0,1e-06,True,True,False
tes1,bace,majority_class,ecfp_rf,0.0,0.0,True,True,False
tes1,bace,chemberta_solo,ecfp_rf,1e-06,2e-06,True,True,False
tes1,bace,chemberta_tta_solo,ecfp_rf,0.0,0.0,True,True,False
tes1,bace,dmpnn_solo,ecfp_rf,0.0,0.0,True,True,False
tes1,bace,ensemble_avg,ecfp_rf,6e-06,1.3e-05,True,True,False
tes1,bace,ensemble_weighted,ecfp_rf,8e-06,1.3e-05,True,True,False
tes1,bace,ensemble_weighted_tta,ecfp_rf,0.0,2e-06,True,True,False
tes1,clintox,random,chemberta_solo,0.0,0.0,True,True,False
tes1,clintox,majority_class,chemberta_solo,0.0,0.0,True,True,False
tes1,clintox,ecfp_rf,chemberta_solo,0.0,0.0,True,True,False
tes1,clintox,chemberta_tta_solo,chemberta_solo,0.0,0.0,True,True,False
tes1,clintox,dmpnn_solo,chemberta_solo,6e-06,1.8e-05,True,True,False
tes1,clintox,ensemble_avg,chemberta_solo,4.4e-05,8.8e-05,True,True,False
tes1,clintox,ensemble_weighted,chemberta_solo,0.000218,0.000218,True,True,False
tes1,clintox,ensemble_weighted_tta,chemberta_solo,0.0,1e-06,True,True,False
tuned_v1,bbbp,random,chemberta_solo,0.0,0.0,True,True,False
tuned_v1,bbbp,majority_class,chemberta_solo,0.0,0.0,True,True,False
tuned_v1,bbbp,ecfp_rf,chemberta_solo,0.016409,0.049227,True,True,False
tuned_v1,bbbp,chemberta_tta_solo,chemberta_solo,2.3e-05,0.000139,True,True,False
tuned_v1,bbbp,dmpnn_solo,chemberta_solo,0.0,0.0,True,True,False
tuned_v1,bbbp,ensemble_avg,chemberta_solo,0.006216,0.024864,True,True,False
tuned_v1,bbbp,ensemble_weighted,chemberta_solo,0.004784,0.023918,True,True,False
tuned_v1,bbbp,ensemble_weighted_tta,chemberta_solo,0.104124,0.208249,False,False,False
tuned_v1,bbbp,ensemble_stacking,chemberta_solo,0.312126,0.312126,False,False,False
tuned_v1,bace,random,ecfp_rf,0.0,1e-06,True,True,False
tuned_v1,bace,majority_class,ecfp_rf,0.0,0.0,True,True,False
tuned_v1,bace,chemberta_solo,ecfp_rf,1e-06,2e-06,True,True,False
tuned_v1,bace,chemberta_tta_solo,ecfp_rf,0.0,0.0,True,True,False
tuned_v1,bace,dmpnn_solo,ecfp_rf,0.0,0.0,True,True,False
tuned_v1,bace,ensemble_avg,ecfp_rf,6e-06,1.9e-05,True,True,False
tuned_v1,bace,ensemble_weighted,ecfp_rf,8e-06,1.9e-05,True,True,False
tuned_v1,bace,ensemble_weighted_tta,ecfp_rf,0.0,2e-06,True,True,False
tuned_v1,bace,ensemble_stacking,ecfp_rf,0.912438,0.912438,False,False,False
tuned_v1,clintox,random,chemberta_solo,0.0,0.0,True,True,False
tuned_v1,clintox,majority_class,chemberta_solo,0.0,0.0,True,True,False
tuned_v1,clintox,ecfp_rf,chemberta_solo,0.0,0.0,True,True,False
tuned_v1,clintox,chemberta_tta_solo,chemberta_solo,,0.026331,False,True,True
tuned_v1,clintox,dmpnn_solo,chemberta_solo,6e-06,3.6e-05,True,True,False
tuned_v1,clintox,ensemble_avg,chemberta_solo,4.4e-05,0.000219,True,True,False
tuned_v1,clintox,ensemble_weighted,chemberta_solo,0.000218,0.000873,True,True,False
tuned_v1,clintox,ensemble_weighted_tta,chemberta_solo,0.000218,0.000873,True,True,False
tuned_v1,clintox,ensemble_stacking,chemberta_solo,0.013165,0.026331,True,True,False
