dataset,method,roc_auc_mean,pr_auc_mean,pr_auc_std,random_baseline_pr_auc_approx
bbbp,ecfp_rf,0.6954,0.7297,0.0081,0.5245
bbbp,chemberta_solo,0.7075,0.749,0.0149,0.5245
bbbp,chemberta_tta_solo,0.6666,0.6997,0.0144,0.5245
bbbp,dmpnn_solo,0.6261,0.6059,0.0186,0.5245
bbbp,ensemble_avg,0.7194,0.7595,0.009,0.5245
bbbp,ensemble_weighted,0.72,0.7602,0.0088,0.5245
bbbp,ensemble_weighted_tta,0.6986,0.7264,0.0107,0.5245
bace,ecfp_rf,0.8679,0.9057,0.0026,0.6053
bace,chemberta_solo,0.7921,0.8316,0.0183,0.6053
bace,chemberta_tta_solo,0.7589,0.808,0.0176,0.6053
bace,dmpnn_solo,0.7657,0.793,0.012,0.6053
bace,ensemble_avg,0.8422,0.8686,0.0059,0.6053
bace,ensemble_weighted,0.8443,0.8709,0.0055,0.6053
bace,ensemble_weighted_tta,0.8425,0.8594,0.0084,0.6053
clintox,ecfp_rf,0.7438,0.6016,0.0132,0.5034
clintox,chemberta_solo,0.9851,0.9626,0.0063,0.5034
clintox,chemberta_tta_solo,0.4025,0.4958,0.0064,0.5034
clintox,dmpnn_solo,0.8094,0.6075,0.03,0.5034
clintox,ensemble_avg,0.9789,0.9518,0.0121,0.5034
clintox,ensemble_weighted,0.9796,0.9555,0.0087,0.5034
clintox,ensemble_weighted_tta,0.7972,0.5829,0.018,0.5034
