dataset,method,baseline,n,p_value_ttest,p_value_wilcoxon,agree_significant_0.05
bbbp,ecfp_rf,chemberta_solo,10,0.016409,0.037109,True
bbbp,chemberta_tta_solo,chemberta_solo,10,2.3e-05,0.001953,True
bbbp,dmpnn_solo,chemberta_solo,10,0.0,0.001953,True
bbbp,ensemble_avg,chemberta_solo,10,0.006216,0.007812,True
bbbp,ensemble_weighted,chemberta_solo,10,0.004784,0.005859,True
bbbp,ensemble_weighted_tta,chemberta_solo,10,0.104124,0.105469,True
bace,chemberta_solo,ecfp_rf,10,1e-06,0.001953,True
bace,chemberta_tta_solo,ecfp_rf,10,0.0,0.001953,True
bace,dmpnn_solo,ecfp_rf,10,0.0,0.001953,True
bace,ensemble_avg,ecfp_rf,10,6e-06,0.001953,True
bace,ensemble_weighted,ecfp_rf,10,8e-06,0.001953,True
bace,ensemble_weighted_tta,ecfp_rf,10,0.0,0.001953,True
clintox,ecfp_rf,chemberta_solo,10,0.0,0.001953,True
clintox,chemberta_tta_solo,chemberta_solo,10,0.0,0.001953,True
clintox,dmpnn_solo,chemberta_solo,10,6e-06,0.001953,True
clintox,ensemble_avg,chemberta_solo,10,4.4e-05,0.001953,True
clintox,ensemble_weighted,chemberta_solo,10,0.000218,0.001953,True
clintox,ensemble_weighted_tta,chemberta_solo,10,0.0,0.001953,True
