dataset,method,auc_tes1,auc_tuned,delta
bace,chemberta_solo,0.7921,0.7921,0.0
bace,chemberta_tta_solo,0.7589,0.7589,0.0
bace,dmpnn_solo,0.7657,0.7657,0.0
bace,ecfp_rf,0.8679,0.8679,0.0
bace,ensemble_avg,0.8422,0.8422,0.0
bace,ensemble_stacking,,0.8681,
bace,ensemble_weighted,0.8443,0.8443,0.0
bace,ensemble_weighted_tta,0.8425,0.8425,0.0
bace,majority_class,0.5,0.5,0.0
bace,random,0.52,0.52,0.0
bbbp,chemberta_solo,0.7075,0.7075,0.0
bbbp,chemberta_tta_solo,0.6666,0.6666,0.0
bbbp,dmpnn_solo,0.6261,0.6261,0.0
bbbp,ecfp_rf,0.6954,0.6954,0.0
bbbp,ensemble_avg,0.7194,0.7194,0.0
bbbp,ensemble_stacking,,0.7026,
bbbp,ensemble_weighted,0.72,0.72,0.0
bbbp,ensemble_weighted_tta,0.6986,0.6986,0.0
bbbp,majority_class,0.5,0.5,0.0
bbbp,random,0.5009,0.5009,0.0
clintox,chemberta_solo,0.9851,0.9851,0.0
clintox,chemberta_tta_solo,0.4025,0.9851,0.5826
clintox,dmpnn_solo,0.8094,0.8094,0.0
clintox,ecfp_rf,0.7438,0.7438,0.0
clintox,ensemble_avg,0.9789,0.9789,0.0
clintox,ensemble_stacking,,0.9875,
clintox,ensemble_weighted,0.9796,0.9796,0.0
clintox,ensemble_weighted_tta,0.7972,0.9796,0.1824
clintox,majority_class,0.5,0.5,0.0
clintox,random,0.5249,0.5249,0.0
