dataset,method,roc_auc_mean,roc_auc_std,bootstrap_ci_low,bootstrap_ci_high,p_value_vs_baseline,cohens_d_vs_baseline
bbbp,random,0.5009,0.03,0.485,0.6489,0.0,-5.854
bbbp,majority_class,0.5,0.0,0.5,0.5,0.0,-16.8864
bbbp,ecfp_rf,0.6954,0.0058,0.6164,0.7588,0.0164,-0.9306
bbbp,chemberta_solo,0.7075,0.0117,0.6152,0.759,baseline,baseline
bbbp,chemberta_tta_solo,0.6666,0.0114,0.6085,0.7545,0.0,-2.5157
bbbp,dmpnn_solo,0.6261,0.0096,0.5456,0.7012,0.0,-5.8147
bbbp,ensemble_avg,0.7194,0.005,0.6395,0.7824,0.0062,1.1226
bbbp,ensemble_weighted,0.72,0.0052,0.6413,0.7827,0.0048,1.1758
bbbp,ensemble_weighted_tta,0.6986,0.0061,0.6306,0.7763,0.1041,-0.5716
bbbp,ensemble_stacking,0.7026,0.0052,0.637,0.7781,0.3121,-0.3386
bace,random,0.52,0.0713,0.5781,0.7535,0.0,-4.5453
bace,majority_class,0.5,0.0,0.5,0.5,0.0,-104.8302
bace,ecfp_rf,0.8679,0.0033,0.7984,0.9219,baseline,baseline
bace,chemberta_solo,0.7921,0.0172,0.7182,0.8805,0.0,-3.9085
bace,chemberta_tta_solo,0.7589,0.0162,0.6889,0.8541,0.0,-5.7227
bace,dmpnn_solo,0.7657,0.0169,0.6824,0.8462,0.0,-5.2575
bace,ensemble_avg,0.8422,0.0074,0.7769,0.9111,0.0,-2.9521
bace,ensemble_weighted,0.8443,0.0071,0.7814,0.9136,0.0,-2.8585
bace,ensemble_weighted_tta,0.8425,0.0047,0.7754,0.9096,0.0,-3.9967
bace,ensemble_stacking,0.8681,0.0057,0.8013,0.9243,0.9124,0.0358
clintox,random,0.5249,0.0505,0.4183,0.7688,0.0,-8.7804
clintox,majority_class,0.5,0.0,0.5,0.5,0.0,-199.5483
clintox,ecfp_rf,0.7438,0.0099,0.5853,0.8793,0.0,-25.1973
clintox,chemberta_solo,0.9851,0.0023,0.9691,1.0,baseline,baseline
clintox,chemberta_tta_solo,0.9851,0.0023,0.9691,1.0,,0.0
clintox,dmpnn_solo,0.8094,0.0574,0.7424,0.9103,0.0,-2.9679
clintox,ensemble_avg,0.9789,0.0036,0.937,1.0,0.0,-2.3201
clintox,ensemble_weighted,0.9796,0.0041,0.9391,1.0,0.0002,-1.878
clintox,ensemble_weighted_tta,0.9796,0.0041,0.9391,1.0,0.0002,-1.878
clintox,ensemble_stacking,0.9875,0.0042,0.9715,1.0,0.0132,0.9736
