dataset,method,roc_auc_mean,roc_auc_std,n_seed_valid
bbbp,chemberta_v3_solo,0.7073,0.0116,10
bbbp,dmpnn_v3_solo,0.6261,0.0096,10
bbbp,chemberta_tta_igate,0.7075,0.0117,10
bbbp,chemberta_v3_tta_igate,0.7073,0.0116,10
bbbp,ensemble_v3_avg,0.7196,0.005,10
bbbp,ensemble_v3_weighted,0.7203,0.0051,10
bace,chemberta_v3_solo,0.7921,0.0172,10
bace,dmpnn_v3_solo,0.7657,0.0169,10
bace,chemberta_tta_igate,0.7774,0.016,10
bace,chemberta_v3_tta_igate,0.7766,0.0149,10
bace,ensemble_v3_avg,0.8414,0.0075,10
bace,ensemble_v3_weighted,0.8435,0.0073,10
clintox,chemberta_v3_solo,0.9806,0.0049,10
clintox,dmpnn_v3_solo,0.6454,0.1,10
clintox,chemberta_tta_igate,0.9851,0.0023,10
clintox,chemberta_v3_tta_igate,0.982,0.0041,10
clintox,ensemble_v3_avg,0.8934,0.0337,10
clintox,ensemble_v3_weighted,0.9211,0.0152,10
